year,month,all_sectors,commercial,industrial,other,residential,transportation,prcp,snow,snwd,tmax,tmin,nmonth
2011,Nov,848,684,19,NA,121,24,0.08067796610169492,0,0,62.779661016949156,39.57627118644068,11
2011,Dec,905,700,18,NA,162,25,0.15566666666666668,0,0,52.55,32.266666666666666,12
2012,Jan,936,707,20,NA,184,26,0.07290322580645162,0.03773584905660377,0.11764705882352941,48.354838709677416,28.64516129032258,1
2012,Feb,840,632,18,NA,167,24,0.05649122807017544,0.01020408163265306,0.03333333333333333,52.666666666666664,32.14035087719298,2
2012,Mar,834,661,17,NA,133,23,0.09306451612903226,0,0,66.12903225806451,43.354838709677416,3
2012,Apr,816,667,19,NA,105,25,0.06982758620689655,0,0,68.17241379310344,44.58620689655172,4
2012,May,957,770,20,NA,137,30,0.08129032258064517,0,0,80,59.096774193548384,5
2012,Jun,1000,773,19,NA,179,29,0.09372881355932203,0,0,85.71186440677967,62.813559322033896,6
2012,Jul,1216,902,18,NA,264,32,0.11166666666666666,0,0,92.06666666666666,71.71666666666667,7
2012,Aug,1130,839,19,NA,242,30,0.13274193548387098,0,0,87.87096774193549,68.62903225806451,8
2012,Sep,925,721,16,NA,162,27,0.09933333333333333,0,0,81.05,59.63333333333333,9
2012,Oct,849,688,17,NA,118,26,0.25704918032786883,0,0,69.15,49.31666666666667,10
2012,Nov,874,694,18,NA,135,27,0.02254237288135593,0,0,52.86440677966102,34.30508474576271,11
2012,Dec,881,661,18,NA,178,25,0.10306451612903225,0.04,0,50.935483870967744,34.854838709677416,12
2013,Jan,817,605,19,NA,168,25,0.10064516129032258,0.11315789473684211,0.17142857142857143,45.806451612903224,29.258064516129032,1
2013,Feb,847,628,16,NA,181,23,0.06482142857142857,0.037142857142857144,0,43.517857142857146,28.303571428571427,2
2013,Mar,977,729,23,NA,199,26,0.07735849056603773,0.14411764705882354,0.14705882352941177,50.228070175438596,32.92982456140351,3
2013,Apr,791,620,18,NA,129,25,0.08775862068965518,0,0,67.51724137931035,45.206896551724135,4
2013,May,889,718,21,NA,121,29,0.09,0,0,74.79032258064517,54.193548387096776,5
2013,Jun,1016,789,20,NA,175,31,0.27616666666666667,0,0,84.27118644067797,65.73333333333333,6
2013,Jul,1171,870,23,NA,245,34,0.09790322580645161,0,0,88.48387096774194,71.5,7
2013,Aug,1105,830,18,NA,228,30,0.05967213114754098,0,0,84.27868852459017,65.63934426229508,8
2013,Sep,882,692,17,NA,146,26,0.055,0,0,80.33333333333333,57.05,9
2013,Oct,857,689,16,NA,125,27,0.22758064516129034,0,0,69.70967741935483,50.12903225806452,10
2013,Nov,817,642,17,NA,133,25,0.09683333333333333,0,0,54,35.11666666666667,11
2013,Dec,916,688,20,NA,184,25,0.1743859649122807,0.10465116279069768,0.14146341463414633,48.775862068965516,32.94827586206897,12
2014,Jan,1005,737,20,NA,219,29,0.07775862068965517,0.344,0.71,37.833333333333336,19.2,1
2014,Feb,881,644,17,NA,198,23,0.12541666666666668,0.44680851063829785,0.9622222222222222,42.84,24.46,2
2014,Mar,925,690,20,NA,190,26,0.13338709677419355,0.498,0.762,49.306451612903224,28.93548387096774,3
2014,Apr,856,660,19,NA,151,26,0.2228813559322034,0,0,66.30508474576271,43.05084745762712,4
2014,May,891,718,21,NA,126,27,0.16491803278688524,0,0,77.59016393442623,55.78688524590164,5
2014,Jun,980,763,21,NA,167,29,0.14716666666666667,0,0,84.85,65.16666666666667,6
2014,Jul,1110,833,19,NA,226,32,0.10564516129032257,0,0,86.58064516129032,67.33870967741936,7
2014,Aug,994,756,17,NA,192,29,0.1714516129032258,0,0,84.20967741935483,64.11290322580645,8
2014,Sep,919,709,18,NA,163,29,0.09583333333333334,0,0,80.41666666666667,59.6,9
2014,Oct,873,692,21,NA,132,28,0.13096774193548388,0,0,69.11290322580645,50.193548387096776,10
2014,Nov,853,669,25,NA,132,27,0.10728813559322034,0.00967741935483871,0,53.66101694915254,35.52542372881356,11
2014,Dec,906,678,23,NA,179,26,0.1132258064516129,0.0058823529411764705,0,48.75806451612903,33.25806451612903,12
2015,Jan,1016,587,20,NA,375,35,0.11225806451612903,0.25121951219512195,0.3521739130434783,40.064516129032256,23.838709677419356,1
2015,Feb,956,753,17,NA,149,37,0.07218181818181818,0.49130434782608695,0.8934782608695652,36.870370370370374,17.59259259259259,2
2015,Mar,914,666,20,NA,215,14,0.14508196721311475,0.2537037037037037,0.4072727272727273,50.95,29.916666666666668,3
2015,Apr,842,614,19,NA,178,32,0.12516666666666668,0,0,67.01666666666667,44.483333333333334,4
2015,May,903,725,20,NA,127,31,0.06918032786885246,0,0,80.9672131147541,59.31147540983606,5
2015,Jun,1029,742,21,NA,241,25,0.4405084745762712,0,0,83.87719298245614,66.7719298245614,6
2015,Jul,1124,799,19,NA,274,32,0.1188709677419355,0,0,87.29032258064517,69,7
2015,Aug,1072,789,17,NA,236,31,0.06225806451612903,0,0,87.03225806451613,65.96774193548387,8
2015,Sep,980,713,18,NA,225,25,0.10149999999999999,0,0,83.46666666666667,63.06666666666667,9
2015,Oct,773,573,21,NA,154,25,0.11774193548387096,0,0,67.66129032258064,46.32258064516129,10
2015,Nov,831,650,24,NA,125,32,0.0785,0,0,62.18333333333333,41.88333333333333,11
2015,Dec,850,611,23,NA,200,16,0.17983870967741936,0,0,59.28333333333333,41.416666666666664,12
2016,Jan,976,731,17,NA,193,35,0.07949152542372881,0.8,4.445238095238095,42.483870967741936,23.322580645161292,1
2016,Feb,995,712,13,NA,248,22,0.1692982456140351,0.10200000000000001,0.2673469387755102,47.39655172413793,29.5,2
2016,Mar,921,708,16,NA,174,23,0.05629032258064516,0.07115384615384615,0.06,61.935483870967744,40.193548387096776,3
2016,Apr,769,564,16,NA,160,29,0.055,0,0,66.48333333333333,42.983333333333334,4
2016,May,843,670,14,NA,126,32,0.17951612903225805,0,0,71.53225806451613,54.193548387096776,5
2016,Jun,1040,750,10,NA,257,23,0.106,0,0,84.8,64.51666666666667,6
2016,Jul,1131,794,37,NA,265,35,0.19145161290322582,0,0,90.24193548387096,71.20967741935483,7
2016,Aug,1148,822,11,NA,286,28,0.10709677419354839,0,0,90.2741935483871,70.6774193548387,8
2016,Sep,991,665,15,NA,285,26,0.12101694915254237,0,0,83.03389830508475,64.52542372881356,9
2016,Oct,875,656,15,NA,174,31,0.027580645161290322,0,0,71.43548387096774,50.58064516129032,10
